Name,Cap Color,Cap zoned,Cap texture,Cap margin when mature,Cap center when mature,Gill color,Gill attachment,Gill spacing,Latex color,Latex stains gills,Latex changes color when dry,Stipe color,Stipe texture,Flesh color,Flesh changes color when sliced,Spore color,Odor,Taste
Lactarius affinis Peck,yellow brown,no,sticky,smooth,depressed,cream,subdecurrent,close,white,no,no,white,smooth,white,no,white,no,acrid
Lactarius argillaceifolius Hessler & Smith,lilac brown,no,sticky to dry,smooth,depressed,cream,subdecurrent,close,off white,brown,no,light brown,smooth,white,no,pink,mild,somewhat acrid
Lactarius aspideoides Burl.,yellow,yes,sticky,smooth,depressed,cream,adnate,close,white,lilac,no,yellow,sticky,white,lilac,pale yellow,no,acrid
Lactarius atroviridus Peck,green brown,yes,pock marked,smooth,depressed,pale pink,adnate,close,white,green,green,green brown,scrobiculate,pale pink,no,cream,no,acrid
Lactarius camphoratus (Bull.) Fr.,red brown,no,dry,scalloped,depressed with knob,pale pink,subdecurrent,close,white,pale pink,no,red brown,smooth,pale cinnamon,no,pale yellow,"maple syrup, burnt sugar or curry",smoky
Lactarius chelidonium var. chelidonioides Hessler & Smith,various,yes,sticky to dry,smooth,depressed,dull orange,subdecurrent,close,yellow brown,green,no,various,smooth,blue,no,yellow,fragrant,peppery
Lactarius chrysorrheus Fr.,cinnamon buff,mildly,sticky,smooth,depressed,pale yellow,subdecurrent,close,cream,no,yellow,off white,smooth,white,yellow,pale buff,no,acrid
Lactarius cinereus Peck,gray,no,sticky,smooth,"depressed, darker",cream,subdecurrent,close,white,no,cream,pale gray,smooth,white,no,cream,no,somewhat acrid
Lactifluus corrugis Peck,red brown,no,wrinkled,smooth,depressed,buff,subdecurrent,close,white,brown,no,red brown,smooth,cream,brown,white,fishy,mild
Lactarius croceus Burl.,orange,mildly,sticky to dry ,smooth,"depressed, darker",pale orange,subdecurrent,close,white,orange,yellow,orange,smooth,white,yellow,pale yellow,fruity,somewhat acrid
Lactifluus deceptivus (Peck) Kuntze,white,no,smooth to scaly,smooth,"depressed, darker",cream,subdecurrent,close,white,tan,no,white,smooth to scaly,white,no,cream,pungent,acrid
Lactarius deterrimus Groger,orange,yes,sticky,smooth,depressed,orange,subdecurrent,close,white,green,red,orange,smooth,orange,red,pale buff,no,somewhat acrid
Lactarius fuliginosus Krapf Fr.,gray brown,no,velvety,grooved,"depressed, wrinkled",buff,subdecurrent,crowded,white,pink,pink,gray brown,smooth,white,pink,pink buff,no,somewhat acrid
Lactarius fumosus Peck,buff brown,no,dry,smooth,"slightly depressed, darker",white to buff,subdecurrent,close,white,pink red,no,white to buff,smooth,white,pink,cream,no,somewhat acrid
Lactarius gerardii var. gerardii Peck,brown,no,wrinkled,Smooth to scalloped,depressed with knob,white,decurrent,distant,white,no,no,brown,smooth,white,no,white,no,mild
Lactarius gerardii var. subrubescens (Smith & Hesler) Hesler & Smith,brown,no,wrinkled,Smooth to scalloped,depressed,white,decurrent,distant,white,pink red,no,brown,scrobiculate,white,no,white,no,mild
Lactarius glaucescens ,white,no,dry,smooth,depressed,cream,subdecurrent,crowded,white,no,blue green,white,smooth,white,no,cream,no,acrid
Lactarius glyciosmus,gray lilac,mildly,dry,smooth,depressed,pink buff,subdecurrent,crowded,white,no,no,gray lilac,smooth,buff,no,cream,coconut,somewhat acrid
Lactarius griseus,gray pink,no,scaly,smooth,depressed with knob,cream,subdecurrent,close,white,brown,yellow,pink tan,smooth,white,brown,pale yellow,no,somewhat acrid
Lactarius helvus,pink brown,no,dry,smooth,slightly depressed,white to pink,subdecurrent,close,clear,no,no,pink brown,smooth,pale pink brown,no,buff,"camphor, maple syrup, fenugreek or curry",mild
Lactarius hepaticus,red brown,no,dry,smooth,"slightly depressed, darker",pink buff,subdecurrent,close,white,no,yellow,red brown,smooth,white ,no,cream,no,somewhat acrid
Lactarius hibbardiae,gray pink to wine brown,mildly,pruinose,smooth,slightly depressed,pink buff,subdecurrent,crowded,white to watery,no,no,gray pink to wine brown,smooth,cream,no,cream,anise or coconut,acrid
Lactifluus hygrophoroides,orange brown,no,smooth to scaly,smooth,"slightly depressed, darker",white to buff,subdecurrent,distant,white,no,no,pale orange brown,smooth,white,no,white,no,mild
Lactarius imperceptus,pink brown to red brown,no,dry,smooth,depressed,white to pink,subdecurrent,close,white,pale yellow,pale yellow,pink brown to red brown,smooth,pale pink,slowly yellow,cream,no,acrid
Lactarius indigo,blue,yes,sticky,smooth,depressed,blue,adnate to subdecurrent,close,blue,green,green,blue,scrobiculate,white,slowly blue,yellow,no,somewhat acrid
Lactarius lignyotellus,dark brown,no,velvety,smooth to ridged,slightly depressed,white with dark brown margins,subdecurrent,subdistant,white,no,no,dark brown,smooth,white,no,ochre,no,somewhat acrid
Lactarius lignyotus,dark brown,no,velvety,smooth to ridged,slightly depressed,white to pale yellow,subdecurrent,subdistant,white,pink red,pale pink,dark brown,smooth,white,slowly pale pink,ochre,no,somewhat acrid
Lactarius lignyotus var. canadensis,dark brown,no,velvety,smooth to ridged,slightly depressed,white with dark brown margins,subdecurrent,subdistant,white,pink,pale pink,dark brown,smooth,white,slowly pale pink,ochre,no,somewhat acrid
Lactarius lignyotus var. nigroviolascens,blackish brown ,no,velvety,smooth to ridged,slightly depressed,white with dark brown margins,subdecurrent,subdistant,white,dark violet,violet,blackish brown,smooth,white,violet,ochre,no,somewhat acrid
Lactarius luridus,brownish ochre,yes,sticky,smooth,slightly depressed with lavender tones,cream,adnate to subdecurrent,close,white,purple,grayish purple,cream with orange basal mycelium,pruinose,white,no,cream,no,mild
Lactifluus luteolus,buff,no,velvety,smooth,slightly depressed,cream,adnate to subdecurrent,close,white,brown,brown,buff,velvety,white,slowly brown,cream,fishy,mild
Lactarius maculatipes,pale yellow,mildly,viscid,smooth,depressed,white to buff,decurrent,close,white,tan,pale yellow,pale yellow,scrobiculate,white,pale yellow,pinkish buff,no,acrid
Lactarius maculatus,gray to brownish lavender,yes,smooth,"Smooth, spotted",depressed,cream,subdecurrent,close,cream,lilac,no,pale gray to brownish lavender,scrobiculate,pale gray,no,white,no,somewhat acrid
Lactarius mammosus,dark gray to gray brown,mildly,smooth,smooth,"depressed to flat, darker",ochre to cream,adnate,crowded,white,no,no,light gray to pink brown,no,white,no,white,mildly anise or coconot,pungent
Lactarius mucidus var. mucidoides,dark gray brown,no,viscid,"smooth, lighter","depressed, darker, slightly knobbed",white,adnate,close,white,brown,gray blue green,dark gray brown,viscid,white to brown,no,cream,fragrant,acrid
